candidate_a,candidate_b,row_diff_a,row_diff_b,overlap_count,jaccard,frac_of_a,frac_of_b
als_popa4_w0.2,als_htr_popa4_w0.05,276,278,186,0.5054347826086957,0.6739130434782609,0.6690647482014388
als_popa4_w0.2,als_htr_popa4_w0.1,276,278,186,0.5054347826086957,0.6739130434782609,0.6690647482014388
als_popa4_w0.2,als_htr_popa4_w0.2,276,300,196,0.5157894736842106,0.7101449275362319,0.6533333333333333
als_popa4_w0.2,als_popa4_w0.2,276,276,276,1.0,1.0,1.0
als_popa4_w0.2,boundary_scoreblend_z128_z192_z64_w-0.75,276,582,120,0.16260162601626016,0.43478260869565216,0.20618556701030927
als_popa4_w0.2,boundary_scoreblend_z128_z192_z64_w2,276,596,140,0.1912568306010929,0.5072463768115942,0.2348993288590604
als_popa4_w0.2,emb128_emb64_zblend,276,596,122,0.16266666666666665,0.4420289855072464,0.20469798657718122
als_popa4_w0.2,frontier_z_w1920_w64-0.25,276,556,106,0.14600550964187328,0.38405797101449274,0.1906474820143885
als_popa4_w0.2,otto_coplay_top5_reverse_recent_forced,276,508,118,0.17717717717717718,0.427536231884058,0.23228346456692914
als_popa4_w0.2,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,276,646,127,0.15974842767295597,0.4601449275362319,0.19659442724458204
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.025,582,278,126,0.17166212534059946,0.21649484536082475,0.45323741007194246
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.05,582,278,126,0.17166212534059946,0.21649484536082475,0.45323741007194246
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.1,582,278,126,0.17166212534059946,0.21649484536082475,0.45323741007194246
boundary_scoreblend_z128_z192_z64_w-0.75,als_htr_popa4_w0.2,582,300,128,0.16976127320954906,0.21993127147766323,0.4266666666666667
boundary_scoreblend_z128_z192_z64_w-0.75,als_popa4_w0.2,582,276,120,0.16260162601626016,0.20618556701030927,0.43478260869565216
boundary_scoreblend_z128_z192_z64_w-0.75,boundary_scoreblend_z128_z192_z64_w-0.75,582,582,582,1.0,1.0,1.0
boundary_scoreblend_z128_z192_z64_w-0.75,boundary_scoreblend_z128_z192_z64_w2,582,596,69,0.062218214607754736,0.11855670103092783,0.11577181208053691
boundary_scoreblend_z128_z192_z64_w-0.75,emb128_emb64_zblend,582,596,83,0.07579908675799087,0.14261168384879724,0.13926174496644295
boundary_scoreblend_z128_z192_z64_w-0.75,frontier_z_w1920_w64-0.25,582,556,315,0.3827460510328068,0.5412371134020618,0.5665467625899281
boundary_scoreblend_z128_z192_z64_w-0.75,otto_coplay_top5_reverse_recent_forced,582,508,202,0.22747747747747749,0.3470790378006873,0.39763779527559057
boundary_scoreblend_z128_z192_z64_w-0.75,tagcf_seed2024_sym_a0.1_raw_zblend_bw0.5,582,646,224,0.22310756972111553,0.3848797250859107,0.34674922600619196
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.025,596,278,161,0.22580645161290322,0.2701342281879195,0.579136690647482
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.05,596,278,161,0.22580645161290322,0.2701342281879195,0.579136690647482
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.1,596,278,161,0.22580645161290322,0.2701342281879195,0.579136690647482
boundary_scoreblend_z128_z192_z64_w2,als_htr_popa4_w0.2,596,300,170,0.23415977961432508,0.28523489932885904,0.5666666666666667
boundary_scoreblend_z128_z192_z64_w2,als_popa4_w0.2,596,276,140,0.1912568306010929,0.2348993288590604,0.5072463768115942
boundary_scoreblend_z128_z192_z64_w2,boundary_scoreblend_z128_z192_z64_w-0.75,596,582,69,0.062218214607754736,0.11577181208053691,0.11855670103092783
boundary_scoreblend_z128_z192_z64_w2,boundary_scoreblend_z128_z192_z64_w2,596,596,596,1.0,1.0,1.0
boundary_scoreblend_z128_z192_z64_w2,emb128_emb64_zblend,596,596,496,0.7126436781609196,0.8322147651006712,0.8322147651006712
boundary_scoreblend_z128_z192_z64_w2,frontier_z_w1920_w64-0.25,596,556,168,0.17073170731707318,0.28187919463087246,0.302158273381295
