band_total_row_diff,expected_public_changed_M_if_half,theoretical_top2_precision,phase1_validation_gate_top2_min,theoretical_top1_precision,phase1_validation_gate_top1_min,transfer_penalty_reference_low,transfer_penalty_reference_high,note
50,25.0,,,,,0.02,0.05,Adjusted upward from theoretical public precision because phase-0 boundary families transferred from validation ~0.505-0.512 to public implied ~0.46-0.49.
100,50.0,0.7699730000000036,0.8199730000000036,,,0.02,0.05,Adjusted upward from theoretical public precision because phase-0 boundary families transferred from validation ~0.505-0.512 to public implied ~0.46-0.49.
150,75.0,0.6799820000000024,0.72,,,0.02,0.05,Adjusted upward from theoretical public precision because phase-0 boundary families transferred from validation ~0.505-0.512 to public implied ~0.46-0.49.
300,150.0,0.5899910000000012,0.65,0.8233010000000014,0.85,0.02,0.05,Adjusted upward from theoretical public precision because phase-0 boundary families transferred from validation ~0.505-0.512 to public implied ~0.46-0.49.
500,250.0,0.5539946000000007,0.6039946000000007,0.6939806000000008,0.74,0.02,0.05,Adjusted upward from theoretical public precision because phase-0 boundary families transferred from validation ~0.505-0.512 to public implied ~0.46-0.49.
850,425.0,0.5317615294117651,0.5817615294117652,0.6141062352941181,0.74,0.02,0.05,Adjusted upward from theoretical public precision because phase-0 boundary families transferred from validation ~0.505-0.512 to public implied ~0.46-0.49.
