split,model,band_total_row_diff_target,changed_rows,swaps,fixes,breaks,net_gain_rows,flip_precision,anchor_accuracy,candidate_accuracy,delta_accuracy
val_random_uniform_seed1001,ridge_fast,50,50,25,25,25,0,0.5,0.7591518303660733,0.7591518303660733,0.0
val_random_uniform_seed1001,ridge_fast,100,92,46,46,46,0,0.5,0.7591518303660733,0.7591518303660733,0.0
val_random_uniform_seed1001,ridge_fast,150,92,46,46,46,0,0.5,0.7591518303660733,0.7591518303660733,0.0
val_random_uniform_seed1001,ridge_fast,300,92,46,46,46,0,0.5,0.7591518303660733,0.7591518303660733,0.0
val_random_uniform_seed1001,ridge_fast,500,92,46,46,46,0,0.5,0.7591518303660733,0.7591518303660733,0.0
val_random_uniform_seed1001,ridge_fast,850,92,46,46,46,0,0.5,0.7591518303660733,0.7591518303660733,0.0
val_random_uniform_seed101,ridge_fast,50,50,25,30,20,10,0.6,0.7600520104020804,0.7605521104220844,0.0005001000200040018
val_random_uniform_seed101,ridge_fast,100,84,42,53,31,22,0.6309523809523809,0.7600520104020804,0.7611522304460893,0.0011002200440088927
val_random_uniform_seed101,ridge_fast,150,84,42,53,31,22,0.6309523809523809,0.7600520104020804,0.7611522304460893,0.0011002200440088927
val_random_uniform_seed101,ridge_fast,300,84,42,53,31,22,0.6309523809523809,0.7600520104020804,0.7611522304460893,0.0011002200440088927
val_random_uniform_seed101,ridge_fast,500,84,42,53,31,22,0.6309523809523809,0.7600520104020804,0.7611522304460893,0.0011002200440088927
val_random_uniform_seed101,ridge_fast,850,84,42,53,31,22,0.6309523809523809,0.7600520104020804,0.7611522304460893,0.0011002200440088927
val_random_uniform_seed1102,ridge_fast,50,50,25,28,22,6,0.56,0.7584516903380676,0.75875175035007,0.0003000600120024455
val_random_uniform_seed1102,ridge_fast,100,78,39,45,33,12,0.5769230769230769,0.7584516903380676,0.7590518103620724,0.0006001200240047799
val_random_uniform_seed1102,ridge_fast,150,78,39,45,33,12,0.5769230769230769,0.7584516903380676,0.7590518103620724,0.0006001200240047799
val_random_uniform_seed1102,ridge_fast,300,78,39,45,33,12,0.5769230769230769,0.7584516903380676,0.7590518103620724,0.0006001200240047799
val_random_uniform_seed1102,ridge_fast,500,78,39,45,33,12,0.5769230769230769,0.7584516903380676,0.7590518103620724,0.0006001200240047799
val_random_uniform_seed1102,ridge_fast,850,78,39,45,33,12,0.5769230769230769,0.7584516903380676,0.7590518103620724,0.0006001200240047799
val_random_uniform_seed1203,ridge_fast,50,50,25,23,27,-4,0.46,0.7616523304660933,0.7614522904580916,-0.00020004000800166732
val_random_uniform_seed1203,ridge_fast,100,78,39,41,37,4,0.5256410256410257,0.7616523304660933,0.7618523704740948,0.0002000400080015563
val_random_uniform_seed1203,ridge_fast,150,78,39,41,37,4,0.5256410256410257,0.7616523304660933,0.7618523704740948,0.0002000400080015563
val_random_uniform_seed1203,ridge_fast,300,78,39,41,37,4,0.5256410256410257,0.7616523304660933,0.7618523704740948,0.0002000400080015563
val_random_uniform_seed1203,ridge_fast,500,78,39,41,37,4,0.5256410256410257,0.7616523304660933,0.7618523704740948,0.0002000400080015563
val_random_uniform_seed1203,ridge_fast,850,78,39,41,37,4,0.5256410256410257,0.7616523304660933,0.7618523704740948,0.0002000400080015563
val_random_uniform_seed1304,ridge_fast,50,42,21,19,23,-4,0.4523809523809524,0.762752550510102,0.7625525105021004,-0.00020004000800166732
val_random_uniform_seed1304,ridge_fast,100,42,21,19,23,-4,0.4523809523809524,0.762752550510102,0.7625525105021004,-0.00020004000800166732
val_random_uniform_seed1304,ridge_fast,150,42,21,19,23,-4,0.4523809523809524,0.762752550510102,0.7625525105021004,-0.00020004000800166732
val_random_uniform_seed1304,ridge_fast,300,42,21,19,23,-4,0.4523809523809524,0.762752550510102,0.7625525105021004,-0.00020004000800166732
val_random_uniform_seed1304,ridge_fast,500,42,21,19,23,-4,0.4523809523809524,0.762752550510102,0.7625525105021004,-0.00020004000800166732
val_random_uniform_seed1304,ridge_fast,850,42,21,19,23,-4,0.4523809523809524,0.762752550510102,0.7625525105021004,-0.00020004000800166732
val_random_uniform_seed1405,ridge_fast,50,50,25,29,21,8,0.58,0.7695539107821564,0.7699539907981596,0.0004000800160032236
val_random_uniform_seed1405,ridge_fast,100,60,30,37,23,14,0.6166666666666667,0.7695539107821564,0.7702540508101621,0.0007001400280056691
val_random_uniform_seed1405,ridge_fast,150,60,30,37,23,14,0.6166666666666667,0.7695539107821564,0.7702540508101621,0.0007001400280056691
val_random_uniform_seed1405,ridge_fast,300,60,30,37,23,14,0.6166666666666667,0.7695539107821564,0.7702540508101621,0.0007001400280056691
val_random_uniform_seed1405,ridge_fast,500,60,30,37,23,14,0.6166666666666667,0.7695539107821564,0.7702540508101621,0.0007001400280056691
val_random_uniform_seed1405,ridge_fast,850,60,30,37,23,14,0.6166666666666667,0.7695539107821564,0.7702540508101621,0.0007001400280056691
val_random_uniform_seed1506,ridge_fast,50,50,25,33,17,16,0.66,0.760252050410082,0.7610522104420884,0.0008001600320063362
val_random_uniform_seed1506,ridge_fast,100,54,27,37,17,20,0.6851851851851852,0.760252050410082,0.76125225045009,0.0010002000400080036
val_random_uniform_seed1506,ridge_fast,150,54,27,37,17,20,0.6851851851851852,0.760252050410082,0.76125225045009,0.0010002000400080036
